Ingredient code,Ingredient description,ingredient_clean,taxon.food.description,taxon_clean,Similarity,Level.code,match,correct_code
11250,"Lettuce, butterhead (includes boston and bibb types), raw",boston butterhead raw type includes lettuce bibb,Boston beans,bean boston,0.398,41204,n,75143
11251,"Lettuce, cos or romaine, raw",romaine co raw lettuce,Lettuce salad,salad lettuce,0.606,75143,n,72116
11252,"Lettuce, iceberg (includes crisphead types), raw",crisphead raw type includes lettuce iceberg,Lettuce salad,salad lettuce,0.406,75143,n,72117
11253,"Lettuce, green leaf, raw",green raw leaf lettuce,Lettuce salad,salad lettuce,0.614,75143,,
11255,"Lotus root, cooked, boiled, drained, without salt",boiled drained lotus without salt cooked root,White potatoes baked and boiled,potato boiled baked white,0.393,711,n,7199
11260,"Mushrooms, white, raw",raw white mushroom,Mushrooms,mushroom,0.841,75219,,
11261,"Mushrooms, white, cooked, boiled, drained, without salt",boiled drained white without salt mushroom cooked,Mushrooms,mushroom,0.59,75219,,
11264,"Mushrooms, canned, drained solids",drained solid canned mushroom,Mushrooms,mushroom,0.687,75219,,
11268,"Mushrooms, shiitake, dried",shiitake dried mushroom,Mushrooms,mushroom,0.654,75219,,
11269,"Mushrooms, shiitake, cooked, without salt",shiitake without salt mushroom cooked,Mushrooms,mushroom,0.596,75219,,
11270,"Mustard greens, raw",green mustard raw,Mustard greens,green mustard,0.948,72122,,
11271,"Mustard greens, cooked, boiled, drained, without salt",boiled drained mustard without salt cooked green,Mustard greens,green mustard,0.618,72122,,
11273,"Mustard greens, frozen, cooked, boiled, drained, without salt",boiled drained mustard without salt cooked green frozen,Mustard greens,green mustard,0.587,72122,,
11278,"Okra, raw",okra raw,Mushrooms or okra,okra mushroom,0.52,75414,n,75220
11279,"Okra, cooked, boiled, drained, without salt",boiled drained okra without salt cooked,Cereal grains not cooked,cooked grain cereal,0.441,576,n,75220
11280,"Okra, frozen, unprepared",okra unprepared frozen,Fruit juice bar frozen,fruit frozen juice bar,0.361,6342,n,75220
11281,"Okra, frozen, cooked, boiled, drained, without salt",boiled drained okra without salt cooked frozen,Cereal grains not cooked,cooked grain cereal,0.423,576,n,75220
11282,"Onions, raw",raw onion,Onions,onion,0.899,75415,n,75110
11283,"Onions, cooked, boiled, drained, without salt",boiled drained onion without salt cooked,Onions,onion,0.495,75415,n,75110
11284,"Onions, dehydrated flakes",flake dehydrated onion,Pork NFS ground dehydrated,ground pork dehydrated,0.644,220,n,4515
11288,"Onions, frozen, chopped, cooked, boiled, drained, without salt",boiled drained onion without salt cooked chopped frozen,Onions,onion,0.412,75415,n,75110
11290,"Onions, frozen, whole, cooked, boiled, drained, without salt",boiled drained onion without salt cooked whole frozen,Noodles cooked whole wheat,cooked noodle whole wheat,0.451,56113,n,75110
11291,"Onions, spring or scallions (includes tops and bulb), raw",onion scallion spring raw top bulb includes,Onions,onion,0.502,75415,n,75110
11292,"Onions, young green, tops only",top green young onion,Onions,onion,0.57,75415,n,75110
11296,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",heated par onion breaded prepared oven fried ring frozen,Ham fried breaded fresh,breaded ham fresh fried,0.505,2230,n,75420
11297,"Parsley, fresh",fresh parsley,Onions palm hearts or parsley,palm parsley onion heart,0.615,75221,n,72111
11299,"Parsnips, cooked, boiled, drained, without salt",boiled drained parsnip without salt cooked,Parsnips,parsnip,0.601,75222,,
11300,"Peas, edible-podded, raw",podded pea raw edible,Peas,pea,0.317,75417,n,4132
11301,"Peas, edible-podded, boiled, drained, without salt",boiled drained pea without salt podded edible,White potatoes baked and boiled,potato boiled baked white,0.373,711,n,4132
11303,"Peas, edible-podded, frozen, cooked, boiled, drained, without salt",boiled drained pea without salt cooked podded edible frozen,White potatoes baked and boiled,potato boiled baked white,0.386,711,n,4132
11304,"Peas, green, raw",pea green raw,Peas green,pea green,0.897,75224,n,4132
11305,"Peas, green, cooked, boiled, drained, without salt",boiled drained pea without salt cooked green,Greens cooked NS,cooked green,0.572,72118,n,4132
11308,"Peas, green (includes baby and lesuer types), canned, drained solids, unprepared",drained baby pea type includes unprepared canned lesuer green solid,Peas green,pea green,0.411,75224,n,4132
11312,"Peas, green, frozen, unprepared",unprepared pea green frozen,Peas green,pea green,0.594,75224,n,4132
11313,"Peas, green, frozen, cooked, boiled, drained, without salt",boiled drained pea without salt cooked green frozen,Greens cooked NS,cooked green,0.551,72118,n,4132
